0.37,0.33,0.30,0.0
0.45,0.31,0.24,0.3
0.40,0.34,0.27,0.5
0.40,0.33,0.27,1.0
0.47,0.33,0.21,1.0
0.46,0.35,0.19,1.1
0.60,0.26,0.14,2.1
0.62,0.28,0.10,2.7
0.71,0.22,0.07,2.9
0.68,0.26,0.06,3.9
0.69,0.27,0.04,3.9
0.70,0.26,0.04,4.0
0.70,0.25,0.04,4.9
0.57,0.30,0.13,5.0
0.71,0.22,0.07,5.9
0.77,0.19,0.04,6.8
0.81,0.15,0.04,6.8
0.75,0.22,0.03,7.6
0.70,0.22,0.09,8.2
0.73,0.19,0.08,8.7
0.73,0.19,0.08,8.8
0.88,0.10,0.02,10.2
0.85,0.10,0.05,10.6
0.84,0.13,0.03,10.9
0.78,0.16,0.06,14.2
0.79,0.12,0.08,18.7
