0.45,0.28,0.27,0
0.53,0.36,0.12,1
0.48,0.42,0.10,1
0.46,0.39,0.15,1
0.52,0.42,0.06,1
0.69,0.23,0.08,2
0.57,0.36,0.06,2
0.64,0.26,0.10,3
0.65,0.22,0.13,3
0.61,0.27,0.12,3
0.38,0.34,0.27,4
